index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
541,4,0,6,0
542,4,0,6,0
543,2,0,0,0
545,0,0,0,0
546,97,0,0,0
547,80,0,0,0
548,94,0,0,0
549,4,0,6,0
550,94,0,0,0
552,21,0,0,0
553,0,0,0,0
554,34,0,0,0
555,4,0,6,0
556,4,0,6,0
557,4,0,6,0
558,4,0,6,0
559,78,0,6,0
560,94,0,0,0
561,4,0,6,0
562,4,0,6,0
563,131,0,0,0
564,78,0,0,0
565,94,0,0,0
566,131,0,0,0
567,4,0,6,0
568,4,0,6,0
569,11,0,11;73,0
570,4,0,6,0
571,4,0,6,0
572,4,0,6,0
573,4,0,6,0
574,78,0,0,0
575,4,0,6,0
576,4,0,6,0
577,4,0,6,0
578,4,0,6,0
579,4,0,6,0
580,4,0,6,0
581,78,0,0,0
582,4;131,0,6,0
583,98,0,0,0
584,4,0,6,0
585,78,0,0,0
586,4,0,6,0
587,4;131,0,6,0
588,78,0,0,0
589,0,0,0,0
590,98,0,0,0
591,94,0,0,0
592,60,35,0,20;41
593,97,0,26;40;95,91
594,94,0,0,0
595,85,0,0,0
596,94,0,0,0
597,4,0,6,0
598,78,0,0,0
599,4,0,6,0
600,4;131,0,6,0
601,4,0,6,0
602,4,0,6,0
603,4,0,6,0
604,94,0,0,0
605,94,0,0,0
606,94,0,0,0
607,131,0,26;40,0
608,59,0,54;62,0
609,4,0,6,0
610,60,52,0,5;9;10;24;51;83;90;98;143;153;158;184;256;263
611,21,0,0,0
612,5,46,0,0
613,5,0,26,0
614,131,0,0,8;19;84;108;241
615,34,0,0,0
616,97;107,0,0,5;36;80;83;129;147;151;167;249;269
617,59,0,30;54;57;62,24;28
618,97,0,0,50;107
619,85,0,0,0
620,0,0,0,0
621,97,0,0,30;255
622,59,0,0,0
623,97,0,0,80;171
624,21,0,0,0
625,104,0,24;72;73,49;147;227;232
626,87,0,0,107;129
627,94,0,0,0
628,21,0,0,0
629,94,0,0,0
630,97,0,18;68,230
631,21,0,0,0
632,1,0,0,0
633,68,0,0,0
634,131,0,26;81,153
635,21,0,0,0
636,60,6,0,7;109;129;187;269
637,94,0,0,0
638,5,50,26,77;79;129;131;165
639,131,0,66;81,0
640,0,0,0,0
641,0,0,0,0
642,94,0,0,0
643,4,0,6,0
644,0,0,0,0
645,94,0,0,0
646,94,0,0,0
647,0,0,0,0
648,94,0,0,0
649,74,0,13;28,0
650,24,0,0,0
651,94,0,0,0
652,4,0,6,0
653,0,0,0,0
654,78,0,0,0
655,4,0,6,0
656,4,0,6,0
657,97,0,18;68,255
658,4,0,6,0
659,94,0,0,0
660,94,0,0,0
661,97;107,0,0,57;151;210;232
662,21,0,0,0
663,94,0,0,0
664,59,0,28,0
666,4;131,0,6,0
667,78,0,0,0
668,80,0,0,0
669,94,0,0,0
670,0,0,0,0
671,34,0,0,0
672,94,0,0,0
673,94,0,0,0
674,94,0,0,0
675,89,0,0,0
676,105,0,0,0
677,97,0,0,36;129;255
678,0,0,0,0
679,60,54,0,107
680,116,0,0,0
681,0,0,0,0
682,115,0,0,0
683,0,0,0,0
684,79,0,0,0
685,60,0,0,0
686,21,0,0,0
687,94,0,0,0
688,85,0,0,0
689,94,0,0,0
690,131,0,26;40;49,30;79;84;99;131;180
691,4;131,0,6,0
692,4,0,6,0
693,4,0,6,0
694,4,0,6,0
695,4,0,6,0
696,4,0,6,0
697,4;131,0,6,0
698,94,0,0,0
699,4,0,6,0
700,4,0,6,0
701,4,0,6,0
702,80,0,0,0
703,4,0,6,0
704,94,0,0,0
705,4,0,6,0
706,94,0,0,0
707,4,0,6,0
708,4,0,6,0
709,85,0,0,0
710,14,0,0,0
711,21,0,0,0
712,94,0,0,0
713,21,0,0,0
714,131,35,0,241
715,94,0,0,0
716,4,0,6,0
717,21,0,0,0
718,94,0,0,0
719,97,35,0,151;255
720,98,0,0,0
721,24,0,0,0
722,94,0,0,0
723,79,0,0,0
724,34,0,0,0
725,4,0,6,0
726,98,0,0,0
727,34,0,0,0
728,63,36,26;49;60;81,42;91;116
729,130,36,0,36
730,97,33;36;50;114,0,112
731,0,0,0,0
732,94,0,0,0
733,97,35,0,6;36;42;71;102;129;153;171;182;241
734,21,0,0,0
735,9,0,0,0
736,94,0,0,0
737,60,0,0,0
738,105,0,0,0
739,85,0,0,0
740,129,0,0,0
741,98,0,0,0
742,34,0,0,0
743,34,0,0,0
744,85,0,0,0
745,0,0,0,0
746,1,0,0,0
747,94,0,0,0
748,21,0,0,0
749,98,0,0,0
750,1,21;33;51;95;114,0,7;36;42;43;46;59;61;83;108;143;156;171;232
751,85,0,0,0
752,0,0,0,0
753,85,0,0,0
754,50,0,0,0
755,99,0,0,0
756,94,0,0,0
757,94,0,0,0
758,94,0,0,0
759,131,46,0,0
760,107;131,0,26;49;81,57;79;158
762,21,0,0,0
763,107;131,0,0,7;113;129
764,85,0,0,0
765,0,0,0,0
766,59,28,0,57;129;182;254;255
767,21,0,0,0
768,85,0,0,0
769,0,0,0,0
770,85,0,0,0
771,94,0,0,0
772,94,0,0,0
773,0,0,0,0
774,94,0,0,0
775,60,0,0,0
776,59,115,0,28;54
777,21,0,0,0
778,98,0,0,0
779,94,0,0,0
780,85,0,0,0
781,94,0,0,0
782,21,0,0,0
783,0,0,0,0
784,4;131,0,6,0
785,21,0,0,0
786,94,0,0,0
787,4,0,6,0
788,4,0,6,0
789,120,0,0,0
790,4,0,6,0
791,4,0,6,0
792,59,4,0,28;54
793,1;64,0,0,0
794,4,0,6,0
795,4,0,6,0
796,94,0,0,0
797,4,0,6,0
798,97,114,0,36;83;210;232;255
799,94,0,0,0
800,21,0,0,0
801,21,0,0,0
802,4,0,6,0
803,4,0,6,0
804,4,0,6,0
805,59,33;115,0,28;54
806,34,0,0,0
807,85,0,0,0
808,94,0,0,0
809,34,0,0,0
810,0,0,0,0
811,34,0,0,0
812,97,54,0,47;91;102;153;165;171
813,21,0,0,0
814,21,0,0,0
815,34,0,0,0
816,85,0,0,0
817,21,0,0,0
818,21,0,0,0
819,97,98,0,59;85;107;129;147;151;232
820,97,0,10;39,0
